Date,Location,Positive,Tested,Hosp_require,Hosp_mild,Hosp_severe,Hosp_unknown,Discharged,Fatal
2020/02/06,Domestic,16,132,12,9,0,3,4,0
2020/02/06,Returnee,9,566,5,3,0,2,0,0
2020/02/07,Domestic,16,151,12,12,0,0,4,0
2020/02/07,Returnee,9,566,6,4,0,2,0,0
2020/02/10,Domestic,16,174,7,7,0,0,9,0
2020/02/10,Returnee,10,764,7,4,0,3,0,0
2020/02/12,Domestic,16,190,6,6,0,0,10,0
2020/02/12,Returnee,12,764,9,8,0,1,0,0
2020/02/13,Domestic,17,200,6,6,0,0,11,0
2020/02/13,Returnee,12,764,0,0,0,0,0,0
2020/02/14,Domestic,21,214,10,9,0,1,11,0
2020/02/14,Returnee,12,764,8,8,0,0,1,0
2020/02/17,Domestic,46,487,21,17,3,4,13,1
2020/02/17,Returnee,13,764,6,6,0,0,3,0
2020/02/18,Domestic,53,523,28,25,3,3,12,1
2020/02/18,Returnee,13,764,5,5,0,0,4,0
2020/02/19,Domestic,60,532,29,25,6,4,14,1
2020/02/19,Returnee,13,764,5,5,0,0,4,0
2020/02/20,Domestic,70,603,36,24,7,12,16,1
2020/02/20,Returnee,14,829,6,6,0,0,4,0
2020/02/21,Domestic,79,693,43,29,9,14,16,1
2020/02/21,Returnee,14,829,6,6,0,0,4,0
2020/02/22,Domestic,90,778,52,32,10,20,17,1
2020/02/22,Returnee,15,829,7,6,0,1,7,0
2020/02/23,Domestic,114,874,73,42,11,31,17,1
2020/02/23,Returnee,15,829,7,6,0,1,7,0
2020/02/24,Domestic,126,913,83,52,13,31,17,1
2020/02/24,Returnee,15,829,5,4,0,1,9,0
2020/02/25,Domestic,140,1017,96,58,14,38,9,1
2020/02/25,Returnee,15,829,5,4,0,1,9,0
2020/02/26,Domestic,149,1061,98,63,15,35,23,1
2020/02/26,Returnee,15,829,5,4,0,1,9,0
2020/02/27,Domestic,171,1229,111,60,16,51,30,3
2020/02/27,Returnee,15,829,5,4,0,1,10,0
2020/02/28,Domestic,195,1380,130,73,20,57,30,4
2020/02/28,Returnee,15,829,4,4,0,0,11,0
2020/02/29,Domestic,215,1510,140,82,22,58,31,5
2020/02/29,Returnee,15,829,0,0,0,0,15,0
2020/03/01,Domestic,224,1688,146,90,23,56,31,5
2020/03/01,Returnee,15,829,0,0,0,0,15,0
2020/03/02,Domestic,239,1784,160,95,23,65,32,6
2020/03/02,Returnee,15,829,0,0,0,0,15,0
2020/03/03,Domestic,253,1855,163,98,24,65,35,6
2020/03/03,Returnee,15,829,0,0,0,0,15,0
2020/03/04,Domestic,269,5690,178,100,24,78,37,6
2020/03/04,Returnee,15,829,0,0,0,0,15,0
2020/03/05,Domestic,302,5948,204,102,27,102,38,6
2020/03/05,Airport,1,,1,1,0,0,0,0
2020/03/05,Returnee,15,829,0,0,0,0,15,0
2020/03/06,Domestic,333,6647,207,139,30,68,56,6
2020/03/06,Airport,1,,1,1,0,0,0,0
2020/03/06,Returnee,15,829,0,0,0,0,15,0
2020/03/07,Domestic,392,7200,258,176,28,82,63,6
2020/03/07,Airport,1,,1,1,0,0,0,0
2020/03/07,Returnee,15,829,0,0,0,0,15,0
2020/03/08,Domestic,439,7347,295,193,27,102,67,6
2020/03/08,Airport,1,,1,1,0,0,0,0
2020/03/08,Returnee,15,829,0,0,0,0,15,0
2020/03/09,Domestic,472,7457,300,179,33,121,88,7
2020/03/09,Airport,1,,1,1,0,0,0,0
2020/03/09,Returnee,15,829,0,0,0,0,15,0
2020/03/10,Domestic,498,8771,316,196,31,120,89,9
2020/03/10,Airport,1,,1,1,0,0,0,0
2020/03/10,Returnee,15,829,0,0,0,0,15,0
2020/03/11,Domestic,552,9195,355,194,26,161,103,12
2020/03/11,Airport,1,,1,1,0,0,0,0
2020/03/11,Returnee,15,829,0,0,0,0,15,0
2020/03/12,Domestic,608,9376,395,229,29,166,108,15
2020/03/12,Airport,1,,1,1,0,0,0,0
2020/03/12,Returnee,15,829,0,0,0,0,15,0
2020/03/13,Domestic,659,11231,426,268,32,158,120,19
2020/03/13,Airport,2,,1,1,0,0,0,0
2020/03/13,Returnee,15,829,0,0,0,0,15,0
2020/03/14,Domestic,699,12090,453,292,35,161,129,21
2020/03/14,Airport,2,,1,1,0,0,0,0
2020/03/14,Returnee,15,829,0,0,0,0,15,0
2020/03/15,Domestic,762,12197,488,298,36,190,142,22
2020/03/15,Airport,3,,1,1,0,0,0,0
2020/03/15,Returnee,15,829,0,0,0,0,15,0
2020/03/16,Domestic,794,12239,494,300,41,194,149,24
2020/03/16,Airport,5,,1,1,0,0,0,0
2020/03/16,Returnee,15,829,0,0,0,0,15,0
2020/03/17,Domestic,809,12989,499,317,46,182,156,28
2020/03/17,Airport,5,,1,1,0,0,0,0
2020/03/17,Returnee,15,829,0,0,0,0,15,0
2020/03/18,Domestic,853,13192,524,337,46,187,176,29
2020/03/18,Airport,5,,1,1,0,0,0,0
2020/03/18,Returnee,15,829,0,0,0,0,15,0
2020/03/19,Domestic,892,14072,531,356,49,175,200,31
2020/03/19,Airport,7,,1,1,0,0,0,0
2020/03/19,Returnee,15,829,0,0,0,0,15,0
2020/03/20,Domestic,928,18015,555,373,50,182,212,33
2020/03/20,Airport,7,,1,1,0,0,0,0
2020/03/20,Returnee,15,829,0,0,0,0,15,0
2020/03/21,Domestic,981,18134,587,402,55,185,217,35
2020/03/21,Airport,11,1137,2,2,0,0,0,0
2020/03/21,Returnee,15,829,0,0,0,0,15,0
2020/03/22,Domestic,1015,18226,583,400,57,183,257,36
2020/03/22,Airport,16,1173,4,4,0,0,0,0
2020/03/22,Returnee,15,829,0,0,0,0,15,0
2020/03/23,Domestic,1057,18322,610,423,54,187,260,41
2020/03/23,Airport,17,1189,5,5,0,0,0,0
2020/03/23,Returnee,15,829,0,0,0,0,15,0
2020/03/24,Domestic,1095,22184,629,444,55,185,285,42
2020/03/24,Airport,18,1417,4,4,0,0,1,0
2020/03/24,Returnee,15,829,0,0,0,0,15,0
2020/03/25,Domestic,1160,21266,677,474,57,203,294,43
2020/03/25,Airport,18,1426,4,4,0,0,1,0
2020/03/25,Returnee,15,829,0,0,0,0,15,0
2020/03/26,Domestic,1254,22858,706,504,56,202,343,45
2020/03/26,Airport,23,1484,9,9,0,0,1,0
2020/03/26,Returnee,15,829,0,0,0,0,15,0
2020/03/27,Domestic,1349,24663,766,563,56,203,356,46
2020/03/27,Airport,23,1513,9,9,0,0,1,0
2020/03/27,Returnee,15,829,0,0,0,0,15,0
2020/03/28,Domestic,1453,26105,875,651,60,224,388,49
2020/03/28,Airport,31,1530,30,30,0,0,1,0
2020/03/28,Returnee,15,829,0,0,0,0,15,0
2020/03/29,Domestic,1647,26401,982,659,59,323,408,52
2020/03/29,Airport,31,1530,30,30,0,0,1,0
2020/03/29,Returnee,15,829,0,0,0,0,15,0
2020/03/30,Domestic,1820,26607,1076,696,59,380,408,54
2020/03/30,Airport,31,1530,30,30,0,0,1,0
2020/03/30,Returnee,15,829,0,0,0,0,15,0
2020/03/31,Domestic,1887,30088,1125,715,59,410,408,56
2020/03/31,Airport,51,1580,50,50,0,0,1,0
2020/03/31,Returnee,15,829,0,0,0,0,15,0
2020/04/01,Domestic,2107,32002,1214,797,60,417,456,57
2020/04/01,Airport,56,1677,55,55,0,0,1,0
2020/04/01,Returnee,15,829,0,0,0,0,15,0
2020/04/02,Domestic,2306,32002,1300,882,62,418,489,60
2020/04/02,Airport,60,1679,59,59,0,0,1,0
2020/04/02,Returnee,15,829,0,0,0,0,15,0
2020/04/03,Domestic,2541,36687,1414,958,64,456,498,63
2020/04/03,Airport,61,1930,60,60,0,0,1,0
2020/04/03,Returnee,15,829,0,0,0,0,15,0
2020/04/04,Domestic,2855,39992,1572,1183,69,389,559,69
2020/04/04,Airport,65,2061,64,64,0,0,1,0
2020/04/04,Returnee,15,829,0,0,0,0,15,0
2020/04/05,Domestic,3191,40263,1762,1389,70,373,568,70
2020/04/05,Airport,65,3547,64,64,0,0,1,0
2020/04/05,Returnee,15,829,0,0,0,0,15,0
2020/04/06,Domestic,3569,40481,1937,1551,79,386,575,73
2020/04/06,Airport,70,4862,68,68,0,0,2,0
2020/04/06,Returnee,15,829,0,0,0,0,15,0
2020/04/07,Domestic,3817,48357,2045,1631,80,414,605,80
2020/04/07,Airport,74,6125,72,72,0,0,2,0
2020/04/07,Returnee,15,829,0,0,0,0,15,0
2020/04/08,Domestic,4168,52901,2243,1865,99,378,615,81
2020/04/08,Airport,74,7768,72,72,0,0,2,0
2020/04/08,Returnee,15,829,0,0,0,0,15,0
2020/04/09,Domestic,4667,54284,2499,2143,109,356,668,85
2020/04/09,Airport,86,9274,84,84,0,0,2,0
2020/04/09,Returnee,15,829,0,0,0,0,15,0
2020/04/10,Domestic,5246,57125,2856,2414,117,442,697,88
2020/04/10,Airport,86,10817,84,84,0,0,2,0
2020/04/10,Returnee,15,829,0,0,0,0,15,0
2020/04/11,Domestic,5902,61991,3236,2678,122,558,745,94
2020/04/11,Airport,88,12071,86,86,0,0,2,0
2020/04/11,Returnee,15,829,0,0,0,0,15,0
2020/04/12,Domestic,6616,63132,3606,3030,129,576,767,98
2020/04/12,Airport,117,13420,115,115,0,0,2,0
2020/04/12,Returnee,15,829,0,0,0,0,15,0
2020/04/13,Domestic,7123,63132,3784,3161,135,623,782,102
2020/04/13,Airport,117,14741,115,115,0,0,2,0
2020/04/13,Returnee,15,829,0,0,0,0,15,0
2020/04/14,Domestic,7509,72801,3969,3352,152,617,836,109
2020/04/14,Airport,121,15921,119,119,0,0,2,0
2020/04/14,Returnee,15,829,0,0,0,0,15,0
2020/04/15,Domestic,7964,76425,4150,3567,168,583,884,119
2020/04/15,Airport,121,16982,119,119,0,0,2,0
2020/04/15,Returnee,15,829,0,0,0,0,15,0
2020/04/16,Domestic,8442,81825,4398,3848,193,550,918,136
2020/04/16,Airport,125,18049,123,123,0,0,2,0
2020/04/16,Returnee,15,829,0,0,0,0,15,0
2020/04/17,Domestic,9027,86800,4663,4103,207,560,995,148
2020/04/17,Airport,125,18743,123,123,0,0,2,0
2020/04/17,Returnee,15,829,0,0,0,0,15,0
2020/04/18,Domestic,9654,91050,4920,4323,211,597,1052,154
2020/04/18,Airport,126,19446,124,124,0,0,2,0
2020/04/18,Returnee,15,829,0,0,0,0,15,0
2020/04/19,Domestic,10219,91695,5109,4528,217,581,1142,161
2020/04/19,Airport,127,20292,125,125,0,0,2,0
2020/04/19,Returnee,15,829,0,0,0,0,15,0
2020/04/20,Domestic,10608,94826,5296,4723,231,573,1222,171
2020/04/20,Airport,128,21070,126,126,0,0,2,0
2020/04/20,Returnee,15,829,0,0,0,0,15,0
2020/04/21,Domestic,10974,101818,5393,4794,232,599,1339,186
2020/04/21,Airport,130,21903,128,128,0,0,2,0
2020/04/21,Returnee,15,829,0,0,0,0,15,0
2020/04/22,Domestic,11350,107430,5530,4941,241,589,2023,277
2020/04/22,Airport,131,22328,129,129,0,0,2,0
2020/04/22,Returnee,15,829,0,0,0,0,15,0
2020/04/23,Domestic,11772,112108,5646,5024,259,622,2391,287
2020/04/23,Airport,132,23046,130,130,0,0,2,0
2020/04/23,Returnee,15,829,0,0,0,0,15,0
2020/04/24,Domestic,12240,117367,5817,5207,263,610,2519,317
2020/04/24,Airport,133,23404,131,131,0,0,2,0
2020/04/24,Returnee,15,829,0,0,0,0,15,0
2020/04/25,Domestic,12681,122700,5920,5295,287,625,2645,334
2020/04/25,Airport,133,23925,131,131,0,0,2,0
2020/04/25,Returnee,15,829,0,0,0,0,15,0
2020/04/26,Domestic,13031,123633,6099,5482,296,617,2798,348
2020/04/26,Airport,136,24612,134,134,0,0,2,0
2020/04/26,Returnee,15,829,0,0,0,0,15,0
2020/04/27,Domestic,13232,124456,6216,5545,300,671,2888,351
2020/04/27,Airport,138,25407,136,136,0,0,2,0
2020/04/27,Returnee,15,829,0,0,0,0,15,0
2020/04/28,Domestic,13422,133578,6240,5577,305,663,3170,376
2020/04/28,Airport,139,26138,137,137,0,0,2,0
2020/04/28,Returnee,15,829,0,0,0,0,15,0
2020/04/29,Domestic,13695,136695,6288,5600,306,688,3357,389
2020/04/29,Airport,142,26731,140,140,0,0,2,0
2020/04/29,Returnee,15,829,0,0,0,0,15,0
2020/04/30,Domestic,13929,137338,6405,5713,308,692,3449,415
2020/04/30,Airport,144,27442,142,142,0,0,2,0
2020/04/30,Returnee,15,829,0,0,0,0,15,0
2020/05/01,Domestic,14120,145243,6201,5526,328,675,3964,432
2020/05/01,Airport,146,28078,144,144,0,0,2,0
2020/05/01,Returnee,15,829,0,0,0,0,15,0
2020/05/02,Domestic,14383,152029,6184,5510,324,674,4194,458
2020/05/02,Airport,146,28669,144,144,0,0,2,0
2020/05/02,Returnee,15,829,0,0,0,0,15,0
2020/05/03,Domestic,14677,153047,6189,5522,321,667,4368,492
2020/05/03,Airport,147,29375,145,145,0,0,2,0
2020/05/03,Returnee,15,829,0,0,0,0,15,0
2020/05/04,Domestic,14895,153581,6218,5527,308,691,4479,510
2020/05/04,Airport,147,30176,145,145,0,0,2,0
2020/05/04,Returnee,15,829,0,0,0,0,15,0
2020/05/05,Domestic,15069,154646,6246,5565,309,681,4570,521
2020/05/05,Airport,147,30868,145,145,0,0,2,0
2020/05/05,Returnee,15,829,0,0,0,0,15,0
2020/05/06,Domestic,15192,156866,6048,5396,308,652,4901,543
2020/05/06,Airport,147,31232,145,145,0,0,2,0
2020/05/06,Returnee,15,829,0,0,0,0,15,0
2020/05/07,Domestic,15300,157563,5937,5287,300,650,5129,551
2020/05/07,Airport,148,31638,146,146,0,0,2,0
2020/05/07,Returnee,15,829,0,0,0,0,15,0
2020/05/08,Domestic,15382,169546,5595,4974,287,621,5889,557
2020/05/08,Airport,150,31638,148,148,0,0,2,0
2020/05/08,Returnee,15,829,0,0,0,0,15,0
2020/05/09,Domestic,15483,179043,6302,,266,,8110,600
2020/05/09,Airport,151,32125,149,,0,,2,0
2020/05/09,Returnee,15,829,0,,0,,15,0
2020/05/10,Domestic,15581,180478,6250,,267,,8276,613
2020/05/10,Airport,151,32949,149,,0,,2,0
2020/05/10,Returnee,15,829,0,,0,,15,0
2020/05/11,Domestic,15630,183845,6074,,249,,8514,621
2020/05/11,Airport,153,33530,151,,0,,2,0
2020/05/11,Returnee,15,829,0,,0,,15,0
2020/05/12,Domestic,15706,188646,5914,,243,,8903,643
2020/05/12,Airport,153,34174,151,,0,,2,0
2020/05/12,Returnee,15,829,0,,0,,15,0
2020/05/13,Domestic,15854,188031,5162,,259,,9851,668
2020/05/13,Airport,155,34807,153,,0,,2,0
2020/05/13,Returnee,15,829,0,,0,,15,0
2020/05/14,Domestic,15908,196816,4732,,245,,10321,687
2020/05/14,Airport,156,35499,154,,0,,2,0
2020/05/14,Returnee,15,829,0,,0,,15,0
2020/05/15,Domestic,16022,194323,4339,,237,,10792,710
2020/05/15,Airport,156,35730,154,,0,,2,0
2020/05/15,Returnee,15,829,0,,0,,15,0
2020/05/16,Domestic,16066,203284,4025,,232,,11136,725
2020/05/16,Airport,156,36255,154,,0,,2,0
2020/05/16,Returnee,15,829,0,,0,,15,0
2020/05/17,Domestic,16112,206790,3787,,230,,11398,744
2020/05/17,Airport,158,36833,156,,0,,2,0
2020/05/17,Returnee,15,829,0,,0,,15,0
2020/05/18,Domestic,16132,211832,3667,,228,,11547,749
2020/05/18,Airport,158,37490,156,,0,,2,0
2020/05/18,Returnee,15,829,0,,0,,15,0
2020/05/19,Domestic,16192,216624,3400,,213,,11867,763
2020/05/19,Airport,158,38222,156,,0,,2,0
2020/05/19,Returnee,15,829,0,,0,,15,0
2020/05/20,Domestic,16212,218744,3009,,210,,12269,771
2020/05/20,Airport,158,38704,156,,0,,2,0
2020/05/20,Returnee,15,829,0,,0,,15,0
2020/05/21,Domestic,16251,221397,2761,,195,,12655,777
2020/05/21,Airport,158,39346,156,,0,,2,0
2020/05/21,Returnee,15,829,0,,0,,15,0
2020/05/22,Domestic,16339,224972,2495,,176,,12988,796
2020/05/22,Airport,159,39701,157,,0,,2,0
2020/05/22,Returnee,15,829,0,,0,,15,0
2020/05/23,Domestic,16362,227445,2293,,174,,13227,808
2020/05/23,Airport,159,40203,157,,0,,2,0
2020/05/23,Returnee,15,829,0,,0,,15,0
2020/05/24,Domestic,16375,229669,2130,,168,,13396,820
2020/05/24,Airport,160,40703,157,,0,,2,0
2020/05/24,Returnee,15,829,0,,0,,15,0
2020/05/25,Domestic,16404,230562,2111,,165,,13446,830
2020/05/25,Airport,162,41297,10,,0,,2,0
2020/05/25,Returnee,15,829,0,,0,,15,0